wgs_id	color	continent
GCGS0726	#f0027f	North America
GCGS0317	#f0027f	North America
GCGS0829	#f0027f	North America
GCGS0736	#f0027f	North America
GCGS0830	#f0027f	North America
GCGS0831	#f0027f	North America
GCGS0565	#f0027f	North America
GCGS0245	#f0027f	North America
GCGS0845	#f0027f	North America
GCGS0439	#f0027f	North America
GCGS1103	#f0027f	North America
GCGS0537	#f0027f	North America
GCGS0727	#f0027f	North America
GCGS0737	#f0027f	North America
GCGS0566	#f0027f	North America
GCGS0358	#f0027f	North America
GCGS0385	#f0027f	North America
GCGS0411	#f0027f	North America
GCGS0412	#f0027f	North America
GCGS0413	#f0027f	North America
GCGS0414	#f0027f	North America
GCGS0760	#f0027f	North America
GCGS0415	#f0027f	North America
GCGS0252	#f0027f	North America
GCGS0288	#f0027f	North America
GCGS0253	#f0027f	North America
GCGS0434	#f0027f	North America
GCGS0444	#f0027f	North America
GCGS0652	#f0027f	North America
GCGS0490	#f0027f	North America
GCGS0685	#f0027f	North America
GCGS0492	#f0027f	North America
GCGS0687	#f0027f	North America
GCGS0723	#f0027f	North America
GCGS0356	#f0027f	North America
GCGS0357	#f0027f	North America
GCGS0741	#f0027f	North America
GCGS0576	#f0027f	North America
GCGS0367	#f0027f	North America
GCGS0291	#f0027f	North America
GCGS0622	#f0027f	North America
GCGS0813	#f0027f	North America
GCGS0307	#f0027f	North America
GCGS0719	#f0027f	North America
GCGS0724	#f0027f	North America
GCGS0824	#f0027f	North America
GCGS0866	#f0027f	North America
GCGS0867	#f0027f	North America
GCGS0258	#f0027f	North America
GCGS0577	#f0027f	North America
GCGS0578	#f0027f	North America
GCGS0579	#f0027f	North America
GCGS0580	#f0027f	North America
GCGS0581	#f0027f	North America
GCGS0612	#f0027f	North America
GCGS0408	#f0027f	North America
GCGS0409	#f0027f	North America
GCGS0623	#f0027f	North America
GCGS0771	#f0027f	North America
GCGS0846	#f0027f	North America
GCGS0441	#f0027f	North America
GCGS0646	#f0027f	North America
GCGS0662	#f0027f	North America
GCGS0663	#f0027f	North America
GCGS0295	#f0027f	North America
GCGS0704	#f0027f	North America
GCGS0302	#f0027f	North America
GCGS0521	#f0027f	North America
GCGS0527	#f0027f	North America
GCGS0528	#f0027f	North America
GCGS0720	#f0027f	North America
GCGS0529	#f0027f	North America
GCGS0721	#f0027f	North America
GCGS0259	#f0027f	North America
GCGS0260	#f0027f	North America
GCGS0268	#f0027f	North America
GCGS0573	#f0027f	North America
GCGS0274	#f0027f	North America
GCGS0386	#f0027f	North America
GCGS0772	#f0027f	North America
GCGS0649	#f0027f	North America
GCGS0705	#f0027f	North America
GCGS0505	#f0027f	North America
GCGS0301	#f0027f	North America
GCGS0519	#f0027f	North America
GCGS0520	#f0027f	North America
GCGS0530	#f0027f	North America
GCGS0531	#f0027f	North America
GCGS0532	#f0027f	North America
GCGS0533	#f0027f	North America
GCGS0308	#f0027f	North America
GCGS0534	#f0027f	North America
GCGS0535	#f0027f	North America
GCGS0539	#f0027f	North America
GCGS0825	#f0027f	North America
GCGS0826	#f0027f	North America
GCGS0323	#f0027f	North America
GCGS0325	#f0027f	North America
GCGS0555	#f0027f	North America
GCGS0729	#f0027f	North America
GCGS1094	#f0027f	North America
GCGS0264	#f0027f	North America
GCGS0266	#f0027f	North America
GCGS0340	#f0027f	North America
GCGS0341	#f0027f	North America
GCGS0269	#f0027f	North America
GCGS0342	#f0027f	North America
GCGS0343	#f0027f	North America
GCGS0738	#f0027f	North America
GCGS0570	#f0027f	North America
GCGS0589	#f0027f	North America
GCGS0280	#f0027f	North America
GCGS0387	#f0027f	North America
GCGS0597	#f0027f	North America
GCGS0598	#f0027f	North America
GCGS0388	#f0027f	North America
GCGS0282	#f0027f	North America
GCGS0600	#f0027f	North America
GCGS0283	#f0027f	North America
GCGS0607	#f0027f	North America
GCGS0001	#f0027f	North America
GCGS0002	#f0027f	North America
GCGS0003	#f0027f	North America
GCGS0004	#f0027f	North America
GCGS0005	#f0027f	North America
GCGS0006	#f0027f	North America
GCGS0007	#f0027f	North America
GCGS0008	#f0027f	North America
GCGS0009	#f0027f	North America
GCGS0010	#f0027f	North America
GCGS0012	#f0027f	North America
GCGS0014	#f0027f	North America
GCGS0017	#f0027f	North America
GCGS0018	#f0027f	North America
GCGS0019	#f0027f	North America
GCGS0020	#f0027f	North America
GCGS0021	#f0027f	North America
GCGS0022	#f0027f	North America
GCGS0023	#f0027f	North America
GCGS0024	#f0027f	North America
GCGS0026	#f0027f	North America
GCGS0027	#f0027f	North America
GCGS0028	#f0027f	North America
GCGS0030	#f0027f	North America
GCGS0031	#f0027f	North America
GCGS0032	#f0027f	North America
GCGS0033	#f0027f	North America
GCGS0034	#f0027f	North America
GCGS0035	#f0027f	North America
GCGS0036	#f0027f	North America
GCGS0037	#f0027f	North America
GCGS0038	#f0027f	North America
GCGS0039	#f0027f	North America
GCGS0040	#f0027f	North America
GCGS0041	#f0027f	North America
GCGS0042	#f0027f	North America
GCGS0043	#f0027f	North America
GCGS0044	#f0027f	North America
GCGS0045	#f0027f	North America
GCGS0046	#f0027f	North America
GCGS0047	#f0027f	North America
GCGS0049	#f0027f	North America
GCGS0050	#f0027f	North America
GCGS0051	#f0027f	North America
GCGS0052	#f0027f	North America
GCGS0053	#f0027f	North America
GCGS0054	#f0027f	North America
GCGS0055	#f0027f	North America
GCGS0056	#f0027f	North America
GCGS0057	#f0027f	North America
GCGS0058	#f0027f	North America
GCGS0059	#f0027f	North America
GCGS0060	#f0027f	North America
GCGS0062	#f0027f	North America
GCGS0063	#f0027f	North America
GCGS0064	#f0027f	North America
GCGS0065	#f0027f	North America
GCGS0066	#f0027f	North America
GCGS0067	#f0027f	North America
GCGS0068	#f0027f	North America
GCGS0069	#f0027f	North America
GCGS0070	#f0027f	North America
GCGS0071	#f0027f	North America
GCGS0072	#f0027f	North America
GCGS0073	#f0027f	North America
GCGS0074	#f0027f	North America
GCGS0075	#f0027f	North America
GCGS0076	#f0027f	North America
GCGS0077	#f0027f	North America
GCGS0078	#f0027f	North America
GCGS0079	#f0027f	North America
GCGS0080	#f0027f	North America
GCGS0081	#f0027f	North America
GCGS0082	#f0027f	North America
GCGS0083	#f0027f	North America
GCGS0084	#f0027f	North America
GCGS0085	#f0027f	North America
GCGS0086	#f0027f	North America
GCGS0087	#f0027f	North America
GCGS0088	#f0027f	North America
GCGS0089	#f0027f	North America
GCGS0090	#f0027f	North America
GCGS0091	#f0027f	North America
GCGS0092	#f0027f	North America
GCGS0093	#f0027f	North America
GCGS0094	#f0027f	North America
GCGS0095	#f0027f	North America
GCGS0096	#f0027f	North America
GCGS0193	#f0027f	North America
GCGS0194	#f0027f	North America
GCGS0195	#f0027f	North America
GCGS0196	#f0027f	North America
GCGS0197	#f0027f	North America
GCGS0198	#f0027f	North America
GCGS0199	#f0027f	North America
GCGS0200	#f0027f	North America
GCGS0201	#f0027f	North America
GCGS0202	#f0027f	North America
GCGS0203	#f0027f	North America
GCGS0204	#f0027f	North America
GCGS0205	#f0027f	North America
GCGS0206	#f0027f	North America
GCGS0207	#f0027f	North America
GCGS0208	#f0027f	North America
GCGS0209	#f0027f	North America
GCGS0210	#f0027f	North America
GCGS0211	#f0027f	North America
GCGS0212	#f0027f	North America
GCGS0213	#f0027f	North America
GCGS0214	#f0027f	North America
GCGS0215	#f0027f	North America
GCGS0216	#f0027f	North America
GCGS0217	#f0027f	North America
GCGS0218	#f0027f	North America
GCGS0219	#f0027f	North America
GCGS0220	#f0027f	North America
GCGS0221	#f0027f	North America
GCGS0223	#f0027f	North America
GCGS0224	#f0027f	North America
GCGS0225	#f0027f	North America
GCGS0226	#f0027f	North America
GCGS0227	#f0027f	North America
GCGS0228	#f0027f	North America
GCGS0229	#f0027f	North America
GCGS0230	#f0027f	North America
GCGS0231	#f0027f	North America
GCGS0232	#f0027f	North America
GCGS0233	#f0027f	North America
GCGS0234	#f0027f	North America
GCGS0235	#f0027f	North America
GCGS0236	#f0027f	North America
GCGS0237	#f0027f	North America
GCGS0238	#f0027f	North America
GCGS0240	#f0027f	North America
GCGS0241	#f0027f	North America
GCGS0242	#f0027f	North America
GCGS0097	#f0027f	North America
GCGS0098	#f0027f	North America
GCGS0099	#f0027f	North America
GCGS0100	#f0027f	North America
GCGS0101	#f0027f	North America
GCGS0102	#f0027f	North America
GCGS0103	#f0027f	North America
GCGS0104	#f0027f	North America
GCGS0105	#f0027f	North America
GCGS0106	#f0027f	North America
GCGS0107	#f0027f	North America
GCGS0108	#f0027f	North America
GCGS0109	#f0027f	North America
GCGS0110	#f0027f	North America
GCGS0111	#f0027f	North America
GCGS0113	#f0027f	North America
GCGS0114	#f0027f	North America
GCGS0115	#f0027f	North America
GCGS0116	#f0027f	North America
GCGS0117	#f0027f	North America
GCGS0118	#f0027f	North America
GCGS0119	#f0027f	North America
GCGS0120	#f0027f	North America
GCGS0121	#f0027f	North America
GCGS0122	#f0027f	North America
GCGS0123	#f0027f	North America
GCGS0124	#f0027f	North America
GCGS0125	#f0027f	North America
GCGS0126	#f0027f	North America
GCGS0127	#f0027f	North America
GCGS0128	#f0027f	North America
GCGS0129	#f0027f	North America
GCGS0130	#f0027f	North America
GCGS0131	#f0027f	North America
GCGS0132	#f0027f	North America
GCGS0134	#f0027f	North America
GCGS0135	#f0027f	North America
GCGS0136	#f0027f	North America
GCGS0137	#f0027f	North America
GCGS0138	#f0027f	North America
GCGS0139	#f0027f	North America
GCGS0141	#f0027f	North America
GCGS0142	#f0027f	North America
GCGS0143	#f0027f	North America
GCGS0144	#f0027f	North America
GCGS0145	#f0027f	North America
GCGS0146	#f0027f	North America
GCGS0147	#f0027f	North America
GCGS0149	#f0027f	North America
GCGS0150	#f0027f	North America
GCGS0151	#f0027f	North America
GCGS0152	#f0027f	North America
GCGS0153	#f0027f	North America
GCGS0155	#f0027f	North America
GCGS0156	#f0027f	North America
GCGS0157	#f0027f	North America
GCGS0158	#f0027f	North America
GCGS0160	#f0027f	North America
GCGS0161	#f0027f	North America
GCGS0162	#f0027f	North America
GCGS0163	#f0027f	North America
GCGS0164	#f0027f	North America
GCGS0165	#f0027f	North America
GCGS0166	#f0027f	North America
GCGS0167	#f0027f	North America
GCGS0168	#f0027f	North America
GCGS0169	#f0027f	North America
GCGS0170	#f0027f	North America
GCGS0171	#f0027f	North America
GCGS0172	#f0027f	North America
GCGS0173	#f0027f	North America
GCGS0174	#f0027f	North America
GCGS0175	#f0027f	North America
GCGS0176	#f0027f	North America
